"CTL"	"dysfunction"
"DFFA"	0	0
"DFFB"	0	0
"DGKA"	0	0
"DGKD"	0	0
"DGKZ"	0	0
"DHCR24"	1	0
"DIABLO"	0	1
"DICER1"	0	0
"DIDO1"	0	0
"DIRAS2"	0	0
"DIRAS3"	1	0
"DISP1"	1	0
"DKK1"	0	0
"DKKL1"	0	0
"DLC1"	0	0
"DLG5"	0	0
"DLL3"	0	0
"DLX3"	3	0
"DLX4"	2	0
"DLX5"	0	0
"DLX6"	0	1
"DMD"	1	0
"DMRTA1"	0	0
"DMRTC1"	0	0
"DNAJA1"	0	2
"DNAJA3"	2	2
"DNAJB6"	0	1
"DNAJC27"	0	0
"DNASE1L3"	0	0
"DNM1L"	0	3
"DNMBP"	0	0
"DNMT1"	0	0
"DNMT3A"	1	1
"DNMT3B"	1	1
"DNTTIP2"	0	2
"DOCK1"	0	0
"DOK1"	0	0
"DOK2"	0	0
"DOK3"	0	0
"DOK4"	0	0
"DOK5"	0	0
"DOT1L"	0	0
"DPF1"	0	0
"DPF3"	0	0
"DPYSL2"	0	0
"DR1"	0	0
"DRAP1"	0	0
"DRD4"	0	0
"DTX1"	0	0
"DTX4"	0	0
"DUOX1"	0	0
"DUSP1"	0	0
"DUSP16"	0	0
"DUSP19"	1	0
"DUSP2"	0	0
"DUSP22"	0	0
"DUSP4"	0	0
"DUSP6"	0	0
"DUSP8"	0	0
"DVL1"	0	0
"DVL2"	0	0
"DYRK1B"	0	0
"E2F1"	0	0
"E2F2"	0	0
"E2F3"	0	0
"E2F5"	0	2
"E2F6"	1	4
"E2F7"	0	1
"E2F8"	0	0
"E4F1"	0	0
"EAF2"	0	0
"EBF1"	0	0
"EBF4"	0	0
"EBI3"	0	0
"ECE1"	0	0
"ECT2"	0	4
"EDA2R"	0	0
"EDN1"	0	0
"EDNRA"	0	0
"EDNRB"	0	0
"EDRF1"	0	2
"EED"	0	1
"EEF1D"	0	0
"EEF1E1"	0	4
"EFCAB6"	2	0
"EFNA1"	1	0
"EFNB3"	1	0
"EFS"	0	1
"EGF"	0	0
"EGFR"	1	0
"EGLN1"	0	1
"EGR1"	0	0
"EGR2"	0	0
"EGR3"	0	0
"EHF"	1	0
"EID2B"	0	0
"EID3"	0	0
"EIF2A"	0	2
"EIF2AK2"	0	1
"EIF4EBP1"	0	0
"EIF4EBP2"	1	0
"ELF3"	3	0
"ELF4"	0	0
"ELF5"	1	0
"ELK1"	0	0
"ELK3"	0	0
"ELL"	0	0
"ELL2"	0	0
"ELL3"	2	0
"ELMO1"	0	0
"ELN"	0	0
"ELOB"	0	1
"ELOC"	0	3
"ELOVL4"	0	0
"ELP1"	0	3
"ELP3"	0	0
"ELP4"	0	0
"EML4"	0	0
"ENG"	0	0
"ENPP2"	0	0
"ENY2"	1	3
"EOMES"	0	0
"EPAS1"	0	0
"EPC1"	0	0
"EPC2"	1	1
"EPHA1"	0	1
"EPHA2"	0	0
"EPHA4"	1	0
"EPHA8"	0	0
"EPHB2"	0	0
"EPHB3"	0	0
"EPHB4"	0	0
"EPHB6"	0	0
"EPO"	0	0
"EPOR"	0	0
"EPS8"	2	0
"ERBB2"	3	1
"ERBB3"	2	1
"ERBB4"	0	0
"ERBIN"	0	1
"ERCC3"	0	1
"ERCC6"	0	1
"ERG"	0	0
"ERN1"	0	0
"ERN2"	1	0
"ERO1A"	0	0
"ESF1"	0	0
"ESR1"	0	0
"ESR2"	0	0
"ESRRB"	0	0
"ESRRG"	0	0
"ETS1"	0	0
"ETV2"	0	0
"ETV3"	0	1
"ETV4"	2	1
"ETV5"	0	0
"ETV6"	0	0
"ETV7"	0	0
"EVI2A"	0	0
"EVL"	0	0
"EVX1"	0	0
"EWSR1"	0	0
"EXT1"	0	0
"EXT2"	0	0
"EYA3"	0	0
"F10"	0	0
"F2RL1"	1	2
"F3"	0	0
"F7"	0	0
"FABP4"	0	0
"FAF1"	0	0
"FAM120B"	0	0
"FAM13B"	0	0
"FANCA"	0	0
"FANCD2"	0	1
"FANCF"	0	0
"FANCG"	0	1
"FANCL"	1	4
"FARP1"	3	1
"FARP2"	0	0
"FAS"	0	0
"FASLG"	0	0
"FASTK"	0	0
"FAT1"	0	0
"FBXO11"	0	1
"FBXO6"	0	0
"FBXW4"	2	0
"FBXW7"	0	0
"FCER1A"	0	0
"FCER1G"	0	0
"FCGR2B"	0	0
"FCGR2C"	0	0
"FCGRT"	0	0
"FCRL2"	0	0
"FCRL4"	0	0
"FEN1"	0	1
"FEZF1"	0	0
"FFAR2"	0	0
"FFAR4"	0	0
"FGA"	0	0
"FGB"	0	0
"FGD1"	0	0
"FGD2"	0	0
"FGD3"	0	0
"FGD4"	0	0
"FGD5"	0	0
"FGF1"	0	0
"FGF11"	0	0
"FGF13"	0	0
"FGF14"	0	0
"FGF18"	0	0
"FGF2"	0	0
"FGF22"	0	0
"FGF23"	0	0
"FGF6"	0	0
"FGF8"	0	0
"FGF9"	0	0
"FGFBP1"	0	0
"FGFR1OP"	0	2
"FGFR2"	0	0
"FGFR3"	0	0
"FGFRL1"	1	0
"FH"	2	4
"FHIT"	0	0
"FHL2"	0	0
"FHL5"	0	0
"FICD"	0	0
"FKBP1A"	0	0
"FLI1"	0	0
"FLII"	0	0
"FLNA"	0	0
"FLNB"	0	1
"FLRT3"	0	0
"FLT1"	0	0
"FLT3"	0	0
"FLT3LG"	0	0
"FLT4"	0	0
"FNBP1"	0	0
"FNTA"	0	3
"FOSB"	0	0
"FOSL1"	0	0
"FOSL2"	0	0
"FOXA1"	0	1
"FOXA2"	2	0
"FOXF1"	0	0
"FOXF2"	0	0
"FOXJ2"	0	0
"FOXJ3"	2	0
"FOXK2"	0	0
"FOXM1"	0	1
"FOXN1"	0	0
"FOXN2"	0	0
"FOXN4"	0	0
"FOXO1"	0	0
"FOXP1"	0	0
"FOXP3"	0	0
"FOXP4"	1	0
"FOXQ1"	1	0
"FOXS1"	0	0
"FPR1"	0	0
"FPR2"	0	0
"FPR3"	0	0
"FRAT1"	0	0
"FRAT2"	0	0
"FRY"	1	0
"FRYL"	0	1
"FSTL3"	0	0
"FUBP1"	0	2
"FUBP3"	0	1
"FURIN"	0	0
"FUS"	1	0
"FYB1"	0	0
"FYN"	0	0
"FZD10"	0	0
"FZD3"	0	0
"FZD4"	0	0
"FZD5"	3	0
"FZD6"	0	1
"FZD9"	0	0
"G3BP1"	0	2
"G3BP2"	0	2
"GAB1"	0	0
"GABBR1"	0	0
"GABBR2"	0	0
"GABPA"	0	1
"GABPB1"	0	3
"GABPB2"	0	1
"GABRB1"	0	0
"GABRG3"	0	0
"GABRP"	0	0
"GADD45B"	0	0
"GAL"	0	0
"GALR2"	0	0
"GARNL3"	0	0
"GAS1"	0	0
"GAS7"	0	0
"GATA1"	0	0
"GATA3"	0	0
"GATA5"	0	0
"GATA6"	0	0
"GATAD1"	0	0
"GATAD2B"	0	0
"GBF1"	0	0
