"Chen2"	"Lu1"	"Tomida1_a"
"SIRT5"	0	1	1
"SIRT7"	0	0	1
"SIVA1"	1	3	0
"SIX3"	1	0	0
"SLC2A4RG"	0	1	0
"SLC30A9"	1	1	0
"SLC7A1"	4	4	3
"SLC9A1"	1	1	1
"SLC9A3R1"	0	2	0
"SLIRP"	4	2	4
"SMAD1"	0	1	0
"SMAP1"	1	0	0
"SMARCAL1"	2	4	1
"SMARCB1"	1	3	1
"SMARCC1"	1	0	1
"SMARCD1"	0	2	0
"SMARCD2"	0	0	1
"SMARCE1"	1	0	0
"SMC1A"	3	1	2
"SMC3"	1	0	0
"SMO"	0	1	0
"SNAI1"	0	1	0
"SNAPC1"	2	0	1
"SNAPC5"	2	1	2
"SNCA"	0	1	0
"SND1"	2	2	1
"SNF8"	4	5	2
"SNX6"	1	0	0
"SOCS4"	0	1	1
"SOD1"	0	0	1
"SOHLH2"	0	1	1
"SOX12"	2	2	2
"SOX15"	1	3	1
"SOX2"	2	1	2
"SOX30"	1	1	1
"SOX4"	0	0	1
"SP6"	1	2	0
"SP8"	2	0	1
"SPAG5"	7	7	7
"SPHK1"	2	3	0
"SPOCK3"	1	0	0
"SREBF2"	1	2	1
"SRPK1"	4	1	4
"SRPK2"	1	0	0
"SS18"	1	1	1
"SSRP1"	6	4	5
"STAMBP"	3	0	2
"STAT5B"	1	1	1
"STC1"	4	3	1
"STK24"	0	1	0
"STK25"	0	0	1
"STK26"	1	0	0
"STMN1"	6	4	6
"STYXL1"	1	0	0
"SUPT16H"	2	0	2
"SUPT3H"	2	1	2
"SUPT4H1"	0	1	0
"SUV39H1"	4	4	3
"SUV39H2"	5	4	5
"SUZ12"	1	0	0
"TADA2A"	0	0	1
"TAF10"	1	1	0
"TAF11"	1	0	0
"TAF1D"	0	0	1
"TAF2"	2	0	2
"TAF4"	0	0	1
"TAF4B"	1	0	0
"TAF5"	4	1	2
"TAF5L"	0	0	1
"TAF6"	1	3	1
"TANK"	0	0	1
"TARBP2"	1	5	1
"TAS2R31"	1	0	0
"TBC1D10B"	1	1	1
"TBC1D20"	1	3	1
"TBC1D31"	5	3	5
"TBC1D7"	4	3	3
"TBK1"	2	0	1
"TBL1XR1"	1	0	0
"TBP"	2	1	3
"TBPL1"	4	1	2
"TBR1"	1	1	1
"TCEANC2"	1	1	1
"TCF19"	3	3	2
"TCF3"	2	4	3
"TDG"	3	1	1
"TEAD4"	5	5	4
"TENM4"	1	1	0
"TERF1"	0	0	1
"TET1"	1	0	1
"TFAM"	3	0	2
"TFAP2A"	2	4	2
"TFAP2C"	0	1	0
"TFB1M"	1	0	3
"TFB2M"	1	1	2
"TFDP1"	5	3	4
"TFDP2"	5	5	4
"TFG"	3	2	3
"TFPT"	0	2	1
"TFRC"	3	1	2
"TGFA"	0	1	0
"TGFBRAP1"	1	1	1
"TGIF1"	1	2	1
"TGIF2"	2	2	0
"TGS1"	2	0	1
"THAP12"	1	0	0
"THOC1"	1	0	1
"THOP1"	2	4	2
"TIAL1"	1	0	0
"TIMELESS"	7	7	7
"TIMM50"	4	3	4
"TIPIN"	6	4	6
"TLE1"	1	1	1
"TLE3"	1	2	1
"TLK1"	2	2	2
"TLK2"	2	0	1
"TMF1"	2	1	2
"TMPO"	5	4	5
