"EMT"	"signature"
"SOX18"	0	3
"SOX7"	0	3
"SP6"	2	1
"SPARCL1"	1	2
"SPHK1"	6	3
"SPI1"	0	2
"SPOCK1"	5	4
"SPOCK2"	0	1
"SPRED3"	1	1
"SPSB1"	5	2
"SPSB4"	1	1
"SPTBN1"	2	2
"SRGAP1"	1	1
"STAC"	0	1
"STARD13"	4	4
"STARD8"	2	5
"STAT2"	1	1
"STAT4"	0	1
"STAT5B"	0	3
"STC1"	1	0
"STK10"	0	3
"STK17A"	4	0
"STK17B"	4	0
"STK38L"	2	0
"STMN2"	1	0
"STMN3"	4	3
"STX2"	2	2
"SYDE1"	5	6
"TAB2"	1	0
"TAGAP"	0	1
"TAL1"	0	2
"TAOK3"	0	1
"TBC1D1"	3	4
"TBC1D2"	2	1
"TBC1D2B"	3	4
"TBC1D9"	1	1
"TBX2"	0	2
"TBX3"	2	3
"TBX5"	1	4
"TBXA2R"	2	4
"TCEAL7"	3	3
"TCF12"	0	2
"TCF21"	0	1
"TCF4"	4	3
"TCL1A"	0	1
"TEAD4"	1	0
"TEK"	0	1
"TENM4"	5	3
"TESC"	0	1
"TGFA"	1	0
"TGFB1"	3	3
"TGFB1I1"	7	6
"TGFB3"	7	5
"TGFBR1"	1	0
"TGFBR2"	0	1
"TGM2"	4	4
"THBS1"	5	2
"THY1"	7	5
"TIAM1"	1	1
"TIAM2"	1	1
"TICAM2"	1	0
"TIE1"	1	4
"TLE1"	1	0
"TLR2"	1	1
"TLR4"	1	0
"TLR6"	2	0
"TMOD2"	1	2
"TNFAIP3"	6	3
"TNFAIP6"	7	2
"TNFRSF10B"	1	0
"TNFRSF14"	0	1
"TNFRSF1A"	2	1
"TNFRSF1B"	0	1
"TNFRSF21"	1	0
"TNFRSF4"	2	3
"TNFSF13"	0	1
"TNFSF4"	5	0
"TNFSF8"	0	1
"TOX2"	0	3
"TPM4"	6	3
"TRADD"	0	1
"TRAF1"	0	2
"TRAF3"	0	1
"TRERF1"	0	1
