"Chen2"	"Lu1"	"Tomida1_a"
"ITSN1"	0	1	0
"ITSN2"	0	1	1
"JADE1"	2	3	1
"JDP2"	3	2	3
"JMJD1C"	0	1	0
"JMJD7-PLA2G4B"	1	1	0
"JUN"	2	1	0
"JUND"	1	0	0
"KALRN"	2	1	1
"KAT2B"	2	6	4
"KAT6B"	1	1	1
"KCNH2"	1	1	0
"KDM4C"	1	1	1
"KDM5C"	1	0	0
"KDR"	2	3	3
"KHDRBS2"	1	1	1
"KHDRBS3"	1	1	1
"KIAA1324L"	3	3	5
"KIF13B"	2	1	2
"KIF26A"	1	0	1
"KIT"	0	2	1
"KITLG"	1	0	1
"KL"	1	2	2
"KLF13"	1	1	1
"KLF15"	4	3	3
"KLF2"	6	4	6
"KLF6"	0	1	1
"KLF8"	1	1	0
"KLF9"	0	2	2
"KLRB1"	0	1	0
"KLRF1"	1	1	1
"KLRG1"	1	0	0
"KMT2E"	0	1	0
"KMT5B"	1	0	0
"KNDC1"	1	1	1
"KRIT1"	1	0	0
"LATS1"	1	1	1
"LATS2"	1	1	1
"LBH"	4	0	5
"LDB1"	1	0	0
"LDB2"	5	2	7
"LDLRAP1"	1	0	1
"LGR5"	0	1	0
"LGR6"	1	0	1
"LHCGR"	0	0	1
"LHX9"	1	1	1
"LIFR"	2	4	2
"LILRA2"	1	1	2
"LIMD1"	3	3	3
"LMCD1"	1	0	3
"LMO2"	1	2	4
"LMO3"	4	6	5
"LMO4"	1	1	1
"LPIN2"	1	3	0
"LPP"	0	1	0
"LRRFIP1"	2	3	3
"LRRFIP2"	0	1	0
"LRRK2"	4	5	4
"LRRN3"	6	7	7
"LSP1"	1	0	0
"LTB"	0	0	1
"LYL1"	0	0	1
"LZTFL1"	2	1	2
"MACC1"	2	2	2
"MACF1"	1	3	1
"MAGI1"	3	5	2
"MAGI2"	4	3	2
"MAGI3"	1	2	1
"MAK"	0	1	0
"MAML2"	0	0	1
"MAML3"	1	0	0
"MAMLD1"	2	0	2
"MAP2K5"	1	1	1
"MAP3K13"	1	1	1
"MAP3K14"	1	0	1
"MAP3K3"	4	2	4
"MAP3K4"	0	1	0
"MAP3K6"	1	1	1
"MAPK10"	3	4	4
"MAPK8"	0	1	0
"MAPK8IP3"	0	1	0
"MAPKAPK3"	1	0	1
"MAPRE2"	1	2	2
"MARCO"	2	2	2
"MBD2"	0	1	0
"MBIP"	0	3	0
"MCC"	1	0	2
"MDM2"	1	0	0
"MECOM"	2	1	2
"MECP2"	1	1	1
"MED26"	1	0	0
"MED29"	1	0	1
"MED8"	0	1	0
"MEF2C"	5	6	6
"MEF2D"	2	1	2
"MEIS1"	1	0	0
"MEIS3P1"	2	2	2
"MEOX1"	1	1	1
"MEOX2"	3	0	4
"MGLL"	5	4	5
"MGST2"	0	1	1
"MIB2"	0	1	0
"MICAL1"	1	1	1
"MITF"	2	3	2
"MLLT3"	1	2	1
"MLLT6"	1	0	1
"MLXIP"	0	0	1
"MLXIPL"	1	1	1
"MOAP1"	0	2	0
"MRAS"	1	1	1
"MS4A1"	1	2	0
"MS4A14"	1	1	1
"MS4A15"	0	0	1
"MS4A2"	5	6	5
"MS4A7"	0	1	1
"MS4A8"	0	0	2
"MSN"	1	0	1
"MSRB2"	1	1	1
"MST1R"	1	0	0
"MSTN"	1	0	0
"MTERF2"	0	1	0
"MTSS1"	0	2	0
"MUC1"	3	3	3
"MXD4"	1	1	1
"MYH11"	7	3	7
"MYO9A"	2	3	2
"MYOCD"	5	3	5
"MZF1"	1	0	0
"NAA16"	0	1	0
"NACC2"	1	1	1
"NANOG"	1	1	2
"NCK1"	1	0	0
"NCOA1"	1	1	1
"NCOA4"	0	0	1
"NCOA7"	1	1	1
"NDFIP1"	3	3	3
"NDFIP2"	1	1	1
"NDN"	0	0	1
"NDRG2"	5	4	5
"NEDD9"	4	3	4
"NEK11"	0	1	0
"NEO1"	1	1	1
"NFAT5"	1	0	0
"NFATC1"	3	4	5
"NFATC2"	0	1	0
"NFATC3"	1	1	1
"NFATC4"	1	0	1
"NFE2"	2	1	1
"NFIA"	4	5	5
"NFIB"	1	3	1
"NFIC"	0	0	1
"NFIX"	4	2	3
"NFYB"	1	0	0
"NISCH"	5	3	3
"NKD1"	1	1	2
"NKD2"	2	0	1
"NKX2-1"	2	4	3
"NLRC4"	0	1	2
"NLRP1"	2	2	1
"NOD1"	5	3	3
"NOSTRIN"	3	2	3
"NOTCH4"	3	1	2
"NPFFR1"	0	1	1
"NPR1"	5	2	5
"NPR2"	1	0	1
"NPR3"	2	2	2
"NPY6R"	1	0	0
"NR0B2"	1	1	1
"NR1D2"	0	1	0
"NR2C1"	1	1	1
"NR2E3"	1	0	0
"NR2F2"	2	0	1
"NR3C1"	1	1	1
"NR3C2"	6	6	6
"NR5A2"	0	0	1
"NRGN"	4	4	5
"NRIP2"	1	1	1
"NRXN1"	0	0	1
"NSMCE1"	1	1	0
"NTRK2"	3	1	2
"NTRK3"	3	2	3
"OLIG1"	1	1	1
"OPHN1"	1	0	0
"P2RX1"	1	0	0
"P2RX4"	0	0	1
"P2RY12"	0	1	1
"P2RY14"	1	2	3
"PAFAH1B1"	0	1	0
"PAG1"	1	2	1
"PAQR8"	1	1	1
"PAX6"	1	0	1
"PBX1"	1	1	1
"PBXIP1"	3	3	4
"PCBD2"	1	3	0
